"term","df","sumsq","meansq","statistic","p.value","Country"
"Favorite_Genre",6,3905.37835805993,650.896393009989,1.69859666408031,0.117320658920402,"France"
"Residuals",2466,944962.708985245,383.196556766117,NA,NA,"France"
"Favorite_Genre",6,4048.68031201399,674.780052002331,1.76837465722085,0.101685904878292,"USA"
"Residuals",2496,952428.832272884,381.582064211893,NA,NA,"USA"
"Favorite_Genre",6,2073.52283875879,345.587139793131,0.891588885175918,0.49999779831453,"UK"
"Residuals",2585,1001967.12993902,387.608174057647,NA,NA,"UK"
"Favorite_Genre",6,1119.03534804292,186.505891340487,0.485384435079699,0.819691378503811,"Canada"
"Residuals",2483,954077.005214206,384.243658966656,NA,NA,"Canada"
"Favorite_Genre",6,2903.03750936673,483.839584894454,1.25930703733864,0.27292183139052,"Mexico"
"Residuals",2486,955148.484351845,384.210975201868,NA,NA,"Mexico"
"Favorite_Genre",6,2507.26346362231,417.877243937052,1.08142617023357,0.371077266685791,"Japan"
"Residuals",2450,946712.106499748,386.413104693775,NA,NA,"Japan"
"Favorite_Genre",6,3765.92533157935,627.654221929891,1.65535520820781,0.128059881355538,"Australia"
"Residuals",2430,921373.099699196,379.165884649875,NA,NA,"Australia"
"Favorite_Genre",6,971.677830085589,161.946305014265,0.424952405601203,0.862780295063235,"Germany"
"Residuals",2540,967975.729315576,381.092806817156,NA,NA,"Germany"
"Favorite_Genre",6,3050.72823482377,508.454705803962,1.29252521849329,0.257049307308262,"Brazil"
"Residuals",2496,981878.672484313,393.380878399164,NA,NA,"Brazil"
"Favorite_Genre",6,3162.9521897694,527.158698294899,1.39882269758412,0.211193860111052,"India"
"Residuals",2498,941393.380744362,376.85883936924,NA,NA,"India"
