"Country","Favorite_Genre","n","mean_age","median_age","sd_age"
"Australia","Action",330,47.7757575757576,50,19.4576467852949
"Australia","Comedy",330,48.0363636363636,49,19.5373201937648
"Australia","Documentary",368,46.8342391304348,48,19.9616040557046
"Australia","Drama",348,47.0545977011494,48,19.7799102403734
"Australia","Horror",351,45.011396011396,44,19.4210456108061
"Australia","Romance",358,49.1145251396648,50,18.9354131843737
"Australia","Sci-Fi",352,46.1505681818182,46.5,19.1871143166868
"Brazil","Action",364,46.8131868131868,47,20.3971110620721
"Brazil","Comedy",373,47.3002680965147,48,20.4526971939785
"Brazil","Documentary",348,48.316091954023,50,19.7620739648473
"Brazil","Drama",342,47.7426900584795,49,18.8070427880492
"Brazil","Horror",363,45.9559228650138,46,18.9792919112542
"Brazil","Romance",376,44.7579787234043,45,20.406467998412
"Brazil","Sci-Fi",337,47.0919881305638,47,19.8623348661025
"Canada","Action",378,47.2804232804233,48,20.00227275762
"Canada","Comedy",363,47.5895316804408,48,19.9016810015171
"Canada","Documentary",374,47.1818181818182,48,19.5707033580636
"Canada","Drama",368,47.1630434782609,48,20.2973949947533
"Canada","Horror",358,47.3128491620112,48,19.1125928901755
"Canada","Romance",328,46.1067073170732,46.5,19.2894629254101
"Canada","Sci-Fi",321,45.5669781931464,45,18.8514596557574
"France","Action",367,46.9400544959128,45,20.1554533156086
"France","Comedy",347,44.3775216138329,43,19.1966959365489
"France","Documentary",378,47.5925925925926,47.5,18.998342749116
"France","Drama",360,47.6666666666667,48.5,19.7733677562371
"France","Horror",364,47.1483516483516,46,19.2047105254508
"France","Romance",335,44.9880597014925,44,19.9416778553122
"France","Sci-Fi",322,45.2826086956522,45,19.7831926689456
"Germany","Action",370,46.8567567567568,47.5,19.1581216800927
"Germany","Comedy",372,46.508064516129,47,20.6532778577823
"Germany","Documentary",340,45.2352941176471,44,18.9653601691062
"Germany","Drama",329,47.0790273556231,48,19.6417568889655
"Germany","Horror",382,46.1151832460733,47,19.3521673989556
"Germany","Romance",369,46.9891598915989,47,18.9026364505439
"Germany","Sci-Fi",385,45.8415584415584,45,19.8716804791375
"India","Action",372,48.247311827957,49,19.6858923935663
"India","Comedy",360,46.2888888888889,46,19.7475682051101
"India","Documentary",333,44.9069069069069,42,18.993508253227
"India","Drama",331,45.8791540785498,45,20.1099377033785
"India","Horror",370,47.3648648648649,49,18.8363184369481
"India","Romance",399,46.3834586466165,45,19.6605828923254
"India","Sci-Fi",340,44.9411764705882,46,18.785297044298
"Japan","Action",333,45.1021021021021,43,19.843554424406
"Japan","Comedy",331,46.2688821752266,47,19.60203062196
"Japan","Documentary",372,46.3440860215054,47,20.0789517792445
"Japan","Drama",371,48.4501347708895,48,19.4877527370024
"Japan","Horror",361,45.9252077562327,46,19.806072343926
"Japan","Romance",349,45.6962750716332,44,19.0395689876232
"Japan","Sci-Fi",340,45.6441176470588,45.5,19.7117830262666
"Mexico","Action",355,46.6169014084507,47,20.5628359427883
"Mexico","Comedy",344,47.4418604651163,46.5,19.5571105983025
"Mexico","Documentary",370,47.4513513513513,45,19.6515460906148
"Mexico","Drama",347,45.2680115273775,44,19.6155296304216
"Mexico","Horror",355,44.6140845070423,44,19.6517799813024
"Mexico","Romance",356,46.123595505618,46.5,19.3504785250546
"Mexico","Sci-Fi",366,47.5765027322404,48,18.7999823610743
"UK","Action",360,46.0722222222222,46,19.8556154727085
"UK","Comedy",370,45.6702702702703,47,19.532460160634
"UK","Documentary",373,47.6327077747989,48,20.0464970906449
"UK","Drama",359,46.2813370473538,47,19.5176889371548
"UK","Horror",399,47.1453634085213,49,20.043017112717
"UK","Romance",358,44.8324022346369,45,19.1031362739635
"UK","Sci-Fi",373,47.0643431635389,47,19.6486925174517
"USA","Action",360,47.2277777777778,47,18.9102352664764
"USA","Comedy",371,47.3638814016172,48,19.7081322226338
"USA","Documentary",380,45.5921052631579,44,19.6483448997008
"USA","Drama",378,46.6296296296296,47,19.7068804145019
"USA","Horror",351,44.0940170940171,43,19.5259459208143
"USA","Romance",344,44.0029069767442,42,19.8591980358445
"USA","Sci-Fi",319,45.730407523511,44,19.3360561176679
