"Country","Subscription_Type","n","avg_watch","median_watch","sd_watch"
"Australia","Basic",786,512.723651399491,516.075,275.587960933974
"Australia","Premium",836,499.271806220096,493.04,291.597754842093
"Australia","Standard",815,513.016895705522,512.04,284.601475619633
"Brazil","Basic",823,511.398991494532,522.22,289.580049017339
"Brazil","Premium",858,507.90548951049,508.595,283.200065768696
"Brazil","Standard",822,492.368722627737,500.96,280.027866359458
"Canada","Basic",795,522.587622641509,522.17,286.115622470922
"Canada","Premium",830,506.721265060241,509.845,283.797836872865
"Canada","Standard",865,505.674057803468,512.47,284.109862277523
"France","Basic",872,505.223016055046,497.4,284.521971830215
"France","Premium",819,505.861746031746,491.42,282.006603757067
"France","Standard",782,507.135319693095,512.44,274.079008555364
"Germany","Basic",825,494.277284848485,481.26,286.777164048257
"Germany","Premium",877,502.740250855188,497.79,281.561274598198
"Germany","Standard",845,486.370923076923,476.09,294.590836816678
"India","Basic",849,501.013180212014,506.16,291.03297225186
"India","Premium",822,487.036836982968,467.995,298.258488372022
"India","Standard",834,488.444904076739,486.805,285.686991197196
"Japan","Basic",812,495.27224137931,486.46,287.017190745397
"Japan","Premium",828,500.353538647343,506.21,293.276244476573
"Japan","Standard",817,488.764638922889,482.71,300.096068213586
"Mexico","Basic",864,483.805081018519,484.28,283.677362777246
"Mexico","Premium",832,510.461442307692,527.8,288.859280798337
"Mexico","Standard",797,495.649585947302,506.73,286.81757023793
"UK","Basic",873,509.402726231386,511.74,288.405525777076
"UK","Premium",849,488.75753828033,487.48,283.892640893498
"UK","Standard",870,489.812574712644,475.49,283.847351812541
"USA","Basic",857,496.047899649942,498.56,284.094570465153
"USA","Premium",851,504.80473560517,519.68,286.444796901223
"USA","Standard",795,503.391408805031,506.72,286.077440965287
